(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
