(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 20, 7, 15) (false, 30, 15, 10) (false, 30, 15, 10) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) 
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 20, 7, 15) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 30, 15, 10) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 20, 7, 15) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (false, 60, 10, 20) (true, 0, 0, 0)
(true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0) (true, 0, 0, 0)
